tree_id,decision,pom_m,diameter_cm,note,source_status,source_algorithm,updated_at
TREE_0029,KEEP,,,,MANUAL_REVIEW,experimental,2026-09-09T07:56:03.683000+00:00
TREE_0030,KEEP,,,,MANUAL_REVIEW,experimental,2026-09-09T07:56:16.163000+00:00
TREE_0031,KEEP,,,,MANUAL_REVIEW,experimental,2026-09-09T07:56:27.836000+00:00
TREE_0032,EDIT,1.5,,มันก็ไม่ได้มีรากนี่หว่า ทำซะสูงเลย,MANUAL_REVIEW,experimental,2026-09-09T07:59:57.492000+00:00
TREE_0033,KEEP,,,,MANUAL_REVIEW,experimental,2026-09-09T08:17:33.018000+00:00
TREE_0034,REJECT,,,,MANUAL_REVIEW,experimental,2026-09-09T08:17:47.209000+00:00
TREE_0035,KEEP,,,,MANUAL_REVIEW,experimental,2026-09-09T08:17:59.737000+00:00
TREE_0036,REJECT,,,,MANUAL_REVIEW,experimental,2026-09-09T08:19:25.368000+00:00
TREE_0037,KEEP,1.3,7.2197471,,STANDARD_DBH,experimental,2026-09-09T08:19:34.472000+00:00
TREE_0038,REJECT,,,,MANUAL_REVIEW,experimental,2026-09-09T08:19:50.802000+00:00
TREE_0039,KEEP,,,,MANUAL_REVIEW,experimental,2026-09-09T08:19:59.881000+00:00
TREE_0040,KEEP,,,,MANUAL_REVIEW,experimental,2026-09-09T09:42:33.170000+00:00
TREE_0041,KEEP,,,,MANUAL_REVIEW,experimental,2026-09-09T09:42:47.640000+00:00
TREE_0042,KEEP,,,,MANUAL_REVIEW,experimental,2026-09-09T09:43:25.265000+00:00
TREE_0043,KEEP,,,,MANUAL_REVIEW,experimental,2026-09-09T09:43:41.096000+00:00
TREE_0044,KEEP,1.7,12.391604,,ALTERNATIVE_POM,experimental,2026-09-09T09:43:56.216000+00:00
TREE_0045,REJECT,,,,MANUAL_REVIEW,experimental,2026-09-09T09:44:10.738000+00:00
TREE_0046,KEEP,,,,MANUAL_REVIEW,experimental,2026-09-09T09:44:26.970000+00:00
TREE_0047,REJECT,,,,MANUAL_REVIEW,experimental,2026-09-09T09:44:39.729000+00:00
TREE_0048,REJECT,,,,MANUAL_REVIEW,experimental,2026-09-09T09:44:53.537000+00:00
TREE_0049,KEEP,,,,MANUAL_REVIEW,experimental,2026-09-09T09:45:14.842000+00:00
TREE_0050,KEEP,,,,MANUAL_REVIEW,experimental,2026-09-09T09:45:32.280000+00:00
TREE_0051,KEEP,2.6,19.554201,,ALTERNATIVE_POM,experimental,2026-09-09T09:45:48.386000+00:00
TREE_0052,KEEP,,,,MANUAL_REVIEW,experimental,2026-09-09T09:45:59.049000+00:00
TREE_0053,REJECT,,,,MANUAL_REVIEW,experimental,2026-09-09T09:46:13.113000+00:00
TREE_0054,REJECT,,,,MANUAL_REVIEW,experimental,2026-09-09T09:50:06.153000+00:00
TREE_0055,KEEP,,,,MANUAL_REVIEW,experimental,2026-09-09T09:50:22.393000+00:00
TREE_0056,REJECT,,,,MANUAL_REVIEW,experimental,2026-09-09T09:50:34.737000+00:00
TREE_0057,REJECT,,,,MANUAL_REVIEW,experimental,2026-09-09T09:51:50.977000+00:00
TREE_0058,REJECT,,,,MANUAL_REVIEW,experimental,2026-09-09T09:51:59.977000+00:00
TREE_0059,REJECT,,,,MANUAL_REVIEW,experimental,2026-09-09T09:52:08.347000+00:00
TREE_0060,REJECT,,,,MANUAL_REVIEW,experimental,2026-09-09T09:52:16.209000+00:00
TREE_0061,KEEP,,,,MANUAL_REVIEW,experimental,2026-09-09T09:52:26.961000+00:00
TREE_0062,KEEP,,,,MANUAL_REVIEW,experimental,2026-09-09T09:52:42.338000+00:00
TREE_0063,REJECT,,,,MANUAL_REVIEW,experimental,2026-09-09T09:52:56.482000+00:00
TREE_0064,KEEP,,,,MANUAL_REVIEW,experimental,2026-09-09T09:53:06.273000+00:00
TREE_0065,KEEP,,,,MANUAL_REVIEW,experimental,2026-09-09T09:53:18.889000+00:00
TREE_0066,KEEP,,,,MANUAL_REVIEW,experimental,2026-09-09T09:53:32.809000+00:00
TREE_0067,REJECT,,,,MANUAL_REVIEW,experimental,2026-09-09T09:53:50.305000+00:00
TREE_0068,KEEP,,,,MANUAL_REVIEW,experimental,2026-09-09T09:53:56.241000+00:00
TREE_0069,KEEP,,,,MANUAL_REVIEW,experimental,2026-09-09T09:54:12.850000+00:00
TREE_0070,KEEP,,,,MANUAL_REVIEW,experimental,2026-09-09T09:54:43.545000+00:00
TREE_0071,KEEP,,,,MANUAL_REVIEW,experimental,2026-09-09T09:54:55.881000+00:00
TREE_0072,REJECT,,,,MANUAL_REVIEW,experimental,2026-09-09T09:55:04.281000+00:00
TREE_0073,KEEP,,,,MANUAL_REVIEW,experimental,2026-09-09T09:55:26.313000+00:00
TREE_0074,KEEP,,,,MANUAL_REVIEW,experimental,2026-09-09T09:55:36.433000+00:00
TREE_0075,KEEP,1.8,8.3740906,,ALTERNATIVE_POM,experimental,2026-09-09T09:55:46.459000+00:00
TREE_0076,KEEP,,,,MANUAL_REVIEW,experimental,2026-09-09T09:55:55.587000+00:00
TREE_0077,KEEP,,,,MANUAL_REVIEW,experimental,2026-09-09T09:56:03.523000+00:00
TREE_0078,KEEP,,,,MANUAL_REVIEW,experimental,2026-09-09T09:56:14.091000+00:00
TREE_0079,REJECT,,,,MANUAL_REVIEW,experimental,2026-09-09T09:56:24.714000+00:00
TREE_0080,REJECT,,,,MANUAL_REVIEW,experimental,2026-09-09T09:57:13.937000+00:00
TREE_0081,KEEP,,,,MANUAL_REVIEW,experimental,2026-09-09T09:57:23.265000+00:00
TREE_0082,KEEP,,,,MANUAL_REVIEW,experimental,2026-09-09T09:57:32.338000+00:00
TREE_0083,KEEP,,,,MANUAL_REVIEW,experimental,2026-09-09T09:57:39.635000+00:00
TREE_0084,KEEP,,,,MANUAL_REVIEW,experimental,2026-09-09T10:02:08.434000+00:00
TREE_0085,REJECT,,,,MANUAL_REVIEW,experimental,2026-09-09T10:02:16.010000+00:00
TREE_0086,REJECT,,,,MANUAL_REVIEW,experimental,2026-09-09T10:02:21.266000+00:00
TREE_0087,REJECT,,,,MANUAL_REVIEW,experimental,2026-09-09T10:02:28.298000+00:00
TREE_0088,REJECT,,,,MANUAL_REVIEW,experimental,2026-09-09T10:02:32.378000+00:00
TREE_0089,REJECT,,,,MANUAL_REVIEW,experimental,2026-09-09T10:02:38.538000+00:00
TREE_0090,REJECT,,,,MANUAL_REVIEW,experimental,2026-09-09T10:02:44.130000+00:00
TREE_0091,KEEP,,,,MANUAL_REVIEW,experimental,2026-09-09T10:02:53.490000+00:00
TREE_0092,KEEP,,,,MANUAL_REVIEW,experimental,2026-09-09T10:03:02.410000+00:00
TREE_0093,KEEP,,,,MANUAL_REVIEW,experimental,2026-09-09T10:03:14.915000+00:00
TREE_0094,KEEP,,,,MANUAL_REVIEW,experimental,2026-09-09T10:03:35.700000+00:00
TREE_0095,KEEP,,,,MANUAL_REVIEW,experimental,2026-09-09T10:03:54.692000+00:00
TREE_0096,REJECT,,,,MANUAL_REVIEW,experimental,2026-09-09T10:04:06.899000+00:00
TREE_0097,KEEP,,,,MANUAL_REVIEW,experimental,2026-09-09T10:04:12.626000+00:00
TREE_0098,KEEP,,,,MANUAL_REVIEW,experimental,2026-09-09T10:04:17.850000+00:00
TREE_0099,KEEP,,,,MANUAL_REVIEW,experimental,2026-09-09T10:04:24.411000+00:00
TREE_0100,KEEP,,,,MANUAL_REVIEW,experimental,2026-09-09T10:04:32.034000+00:00
TREE_0101,REJECT,,,,MANUAL_REVIEW,experimental,2026-09-09T10:04:45.706000+00:00
TREE_0102,REJECT,,,,MANUAL_REVIEW,experimental,2026-09-09T10:04:53.866000+00:00
TREE_0103,KEEP,,,,MANUAL_REVIEW,experimental,2026-09-09T10:05:01.994000+00:00
TREE_0104,KEEP,,,,MANUAL_REVIEW,experimental,2026-09-09T10:05:21.354000+00:00
TREE_0105,KEEP,,,,MANUAL_REVIEW,experimental,2026-09-09T10:05:29.602000+00:00
TREE_0106,REJECT,,,,MANUAL_REVIEW,experimental,2026-09-09T10:05:35.962000+00:00
TREE_0107,KEEP,,,,MANUAL_REVIEW,experimental,2026-09-09T10:05:41.594000+00:00
TREE_0108,KEEP,,,,MANUAL_REVIEW,experimental,2026-09-09T10:05:54.778000+00:00
TREE_0109,REJECT,,,,MANUAL_REVIEW,experimental,2026-09-09T10:05:59.708000+00:00
TREE_0110,KEEP,,,,MANUAL_REVIEW,experimental,2026-09-09T10:06:07.659000+00:00
TREE_0111,REJECT,,,,MANUAL_REVIEW,experimental,2026-09-09T10:06:12.162000+00:00
TREE_0112,KEEP,,,,MANUAL_REVIEW,experimental,2026-09-09T10:06:28.292000+00:00
TREE_0113,EDIT,2.5,,ลองขยับไปที่ 2.5 m จะชัดเจนกว่า,MANUAL_REVIEW,experimental,2026-09-09T10:07:35.835000+00:00
TREE_0114,REJECT,,,,MANUAL_REVIEW,experimental,2026-09-09T10:07:54.130000+00:00
TREE_0115,REJECT,,,,MANUAL_REVIEW,experimental,2026-09-09T10:08:00.891000+00:00
TREE_0116,REJECT,,,,MANUAL_REVIEW,experimental,2026-09-09T10:08:07.831000+00:00
TREE_0117,KEEP,,,,MANUAL_REVIEW,experimental,2026-09-09T10:08:21.431000+00:00
TREE_0118,REJECT,,,,MANUAL_REVIEW,experimental,2026-09-09T10:08:25.879000+00:00
