tree_id,human_decision,human_note,human_pom_m,human_diameter_cm,included_by_reviewer,learned_keep_score,prediction_source,suggestion,measurement_status,measurement_diameter_cm,measurement_pom_m,suggested_pom_m,diagnostic_diameter_cm,diagnostic_failures,refit_url,field_verified,eligible_for_automatic_biomass
TREE_0038,REJECT,,,,False,0.019057,SPATIALLY_HELD_OUT,REJECT,MANUAL_REVIEW,,,,,[],,False,False
TREE_0039,KEEP,,,,True,0.890461,SPATIALLY_HELD_OUT,KEEP,MANUAL_REVIEW,,,1.5,10.6934625,"[""INDEPENDENT_ELLIPSE_DISAGREES"", ""NOT_TESTED_GEOMETRY_OR_AXIS_GROUND_FAILED""]",,False,False
TREE_0040,KEEP,,,,True,0.96401,SPATIALLY_HELD_OUT,KEEP,MANUAL_REVIEW,,,2.0,5.9954368,"[""CONNECTED_STEM_RADIUS_UNSTABLE"", ""HIGH_RELATIVE_RESIDUAL"", ""NOT_TESTED_GEOMETRY_OR_AXIS_GROUND_FAILED""]",,False,False
TREE_0041,KEEP,,,,True,0.943614,SPATIALLY_HELD_OUT,KEEP,MANUAL_REVIEW,,,1.3,7.134273,"[""CONNECTED_STEM_RADIUS_UNSTABLE"", ""HIGH_RELATIVE_RESIDUAL"", ""NOT_TESTED_GEOMETRY_OR_AXIS_GROUND_FAILED""]",,False,False
TREE_0042,KEEP,,,,True,0.748931,SPATIALLY_HELD_OUT,KEEP,MANUAL_REVIEW,,,3.0,8.5599146,"[""AXIS_CENTERS_INCONSISTENT"", ""CONTINUITY_REQUIRES_THREE_LEVELS"", ""INCOMPLETE_ANGULAR_SUPPORT"", ""LARGE_UNOBSERVED_SECTOR"", ""MIXED_OR_NONCIRCULAR_SECTION"", ""NOT_TESTED_GEOMETRY_OR_AXIS_GROUND_FAILED"", ""TREE_DETECTION_UNCERTAIN""]",,False,False
TREE_0043,KEEP,,,,True,0.604611,SPATIALLY_HELD_OUT,KEEP,MANUAL_REVIEW,,,3.6,10.9903498,"[""AXIS_CENTERS_INCONSISTENT"", ""CONNECTED_STEM_RADIUS_UNSTABLE"", ""INCOMPLETE_ANGULAR_SUPPORT"", ""LARGE_UNOBSERVED_SECTOR"", ""NOT_TESTED_GEOMETRY_OR_AXIS_GROUND_FAILED""]",,False,False
TREE_0044,KEEP,,1.7,12.391604,True,0.967504,SPATIALLY_HELD_OUT,KEEP,ALTERNATIVE_POM,12.391604,1.7,1.7,12.391604,[],,False,False
TREE_0045,REJECT,,,,False,0.302886,SPATIALLY_HELD_OUT,REJECT,MANUAL_REVIEW,,,,,[],,False,False
TREE_0046,KEEP,,,,True,0.912413,SPATIALLY_HELD_OUT,KEEP,MANUAL_REVIEW,,,1.6,7.8592318,"[""AXIS_NOT_BRACKETED_BY_OBSERVATIONS"", ""NOT_TESTED_GEOMETRY_OR_AXIS_GROUND_FAILED""]",,False,False
TREE_0047,REJECT,,,,False,0.051961,SPATIALLY_HELD_OUT,REJECT,MANUAL_REVIEW,,,,,[],,False,False
TREE_0048,REJECT,,,,False,0.631656,SPATIALLY_HELD_OUT,KEEP,MANUAL_REVIEW,,,,,[],,False,False
TREE_0049,KEEP,,,,True,0.960687,SPATIALLY_HELD_OUT,KEEP,MANUAL_REVIEW,,,1.7,3.9897106,"[""CONNECTED_STEM_RADIUS_UNSTABLE"", ""HIGH_RELATIVE_RESIDUAL"", ""INDEPENDENT_ELLIPSE_DISAGREES"", ""NOT_TESTED_GEOMETRY_OR_AXIS_GROUND_FAILED""]",,False,False
TREE_0050,KEEP,,,,True,0.986686,SPATIALLY_HELD_OUT,KEEP,MANUAL_REVIEW,,,1.7,5.3858473,"[""HIGH_RELATIVE_RESIDUAL"", ""NOT_TESTED_GEOMETRY_OR_AXIS_GROUND_FAILED""]",,False,False
TREE_0051,KEEP,,2.6,19.554201,True,0.903286,SPATIALLY_HELD_OUT,KEEP,ALTERNATIVE_POM,19.554201,2.6,2.6,19.554201,[],,False,False
TREE_0052,KEEP,,,,True,0.84482,SPATIALLY_HELD_OUT,KEEP,MANUAL_REVIEW,,,3.5,5.2386944,"[""AXIS_NOT_BRACKETED_BY_OBSERVATIONS"", ""CONNECTED_STEM_RADIUS_UNSTABLE"", ""HIGH_RELATIVE_RESIDUAL"", ""INDEPENDENT_ELLIPSE_DISAGREES"", ""NOT_TESTED_GEOMETRY_OR_AXIS_GROUND_FAILED""]",,False,False
TREE_0053,REJECT,,,,False,0.373166,SPATIALLY_HELD_OUT,REJECT,MANUAL_REVIEW,,,,,[],,False,False
TREE_0054,REJECT,,,,False,0.870608,SPATIALLY_HELD_OUT,KEEP,MANUAL_REVIEW,,,,,[],,False,False
TREE_0055,KEEP,,,,True,0.810545,SPATIALLY_HELD_OUT,KEEP,MANUAL_REVIEW,,,1.7,10.4457543,"[""AXIS_CENTERS_INCONSISTENT"", ""GROUND_SPATIALLY_UNSTABLE"", ""INDEPENDENT_ELLIPSE_DISAGREES"", ""NOT_TESTED_GEOMETRY_OR_AXIS_GROUND_FAILED""]",,False,False
TREE_0056,REJECT,,,,False,0.240603,SPATIALLY_HELD_OUT,REJECT,MANUAL_REVIEW,,,,,[],,False,False
TREE_0057,REJECT,,,,False,0.082581,SPATIALLY_HELD_OUT,REJECT,MANUAL_REVIEW,,,,,[],,False,False
TREE_0058,REJECT,,,,False,0.139468,SPATIALLY_HELD_OUT,REJECT,MANUAL_REVIEW,,,,,[],,False,False
TREE_0059,REJECT,,,,False,0.031567,SPATIALLY_HELD_OUT,REJECT,MANUAL_REVIEW,,,,,[],,False,False
TREE_0060,REJECT,,,,False,0.035532,SPATIALLY_HELD_OUT,REJECT,MANUAL_REVIEW,,,,,[],,False,False
TREE_0061,KEEP,,,,True,0.959022,SPATIALLY_HELD_OUT,KEEP,MANUAL_REVIEW,,,1.4,9.0310414,"[""CONNECTED_STEM_RADIUS_UNSTABLE"", ""INDEPENDENT_ELLIPSE_DISAGREES"", ""NOT_TESTED_GEOMETRY_OR_AXIS_GROUND_FAILED"", ""TREE_DETECTION_UNCERTAIN""]",,False,False
TREE_0062,KEEP,,,,True,0.272733,SPATIALLY_HELD_OUT,REJECT,MANUAL_REVIEW,,,1.7,17.7759961,"[""AXIS_CENTERS_INCONSISTENT"", ""CONTINUITY_REQUIRES_THREE_LEVELS"", ""FIT_MOVED_FROM_STEM_HYPOTHESIS"", ""INCOMPLETE_ANGULAR_SUPPORT"", ""INDEPENDENT_ELLIPSE_DISAGREES"", ""LARGE_UNOBSERVED_SECTOR"", ""NOT_TESTED_GEOMETRY_OR_AXIS_GROUND_FAILED""]",,False,False
TREE_0063,REJECT,,,,False,0.198055,SPATIALLY_HELD_OUT,REJECT,MANUAL_REVIEW,,,,,[],,False,False
TREE_0064,KEEP,,,,True,0.845875,SPATIALLY_HELD_OUT,KEEP,MANUAL_REVIEW,,,2.0,15.5671345,"[""AXIS_NOT_BRACKETED_BY_OBSERVATIONS"", ""CONTINUITY_REQUIRES_THREE_LEVELS"", ""GROUND_SPATIALLY_UNSTABLE"", ""NOT_TESTED_GEOMETRY_OR_AXIS_GROUND_FAILED"", ""TREE_DETECTION_UNCERTAIN""]",,False,False
TREE_0065,KEEP,,,,True,0.935236,SPATIALLY_HELD_OUT,KEEP,MANUAL_REVIEW,,,2.1,8.1746011,"[""AXIS_NOT_BRACKETED_BY_OBSERVATIONS"", ""COMPETING_OR_DISCONTINUOUS_STEM_CENTERS"", ""CONNECTED_STEM_RADIUS_UNSTABLE"", ""NOT_TESTED_GEOMETRY_OR_AXIS_GROUND_FAILED"", ""TREE_DETECTION_UNCERTAIN""]",,False,False
TREE_0066,KEEP,,,,True,0.695525,SPATIALLY_HELD_OUT,KEEP,MANUAL_REVIEW,,,2.4,17.9959598,"[""AXIS_CENTERS_INCONSISTENT"", ""CONNECTED_STEM_RADIUS_UNSTABLE"", ""FIT_MOVED_FROM_STEM_HYPOTHESIS"", ""GROUND_SPATIALLY_UNSTABLE"", ""NOT_TESTED_GEOMETRY_OR_AXIS_GROUND_FAILED""]",,False,False
TREE_0067,REJECT,,,,False,0.100644,SPATIALLY_HELD_OUT,REJECT,MANUAL_REVIEW,,,,,[],,False,False
TREE_0068,KEEP,,,,True,0.939666,SPATIALLY_HELD_OUT,KEEP,MANUAL_REVIEW,,,1.5,9.0093972,"[""AXIS_NOT_BRACKETED_BY_OBSERVATIONS"", ""INDEPENDENT_ELLIPSE_DISAGREES"", ""MIXED_OR_NONCIRCULAR_SECTION"", ""NOT_TESTED_GEOMETRY_OR_AXIS_GROUND_FAILED""]",,False,False
TREE_0069,KEEP,,,,True,0.903791,SPATIALLY_HELD_OUT,KEEP,MANUAL_REVIEW,,,2.0,8.6677468,"[""MIXED_OR_NONCIRCULAR_SECTION"", ""NOT_TESTED_GEOMETRY_OR_AXIS_GROUND_FAILED"", ""TREE_DETECTION_UNCERTAIN""]",,False,False
TREE_0070,KEEP,,,,True,0.898335,SPATIALLY_HELD_OUT,KEEP,MANUAL_REVIEW,,,2.8,21.8670343,"[""GROUND_SPATIALLY_UNSTABLE"", ""MIXED_OR_NONCIRCULAR_SECTION"", ""NOT_TESTED_GEOMETRY_OR_AXIS_GROUND_FAILED""]",,False,False
TREE_0071,KEEP,,,,True,0.838681,SPATIALLY_HELD_OUT,KEEP,MANUAL_REVIEW,,,3.2,11.341668,"[""AXIS_CENTERS_INCONSISTENT"", ""CONNECTED_STEM_RADIUS_UNSTABLE"", ""GROUND_SPATIALLY_UNSTABLE"", ""MIXED_OR_NONCIRCULAR_SECTION"", ""NOT_TESTED_GEOMETRY_OR_AXIS_GROUND_FAILED"", ""TREE_DETECTION_UNCERTAIN""]",,False,False
TREE_0072,REJECT,,,,False,0.073216,SPATIALLY_HELD_OUT,REJECT,MANUAL_REVIEW,,,,,[],,False,False
TREE_0073,KEEP,,,,True,0.902472,SPATIALLY_HELD_OUT,KEEP,MANUAL_REVIEW,,,1.3,7.9752585,"[""INDEPENDENT_ELLIPSE_DISAGREES"", ""NOT_TESTED_GEOMETRY_OR_AXIS_GROUND_FAILED""]",,False,False
TREE_0074,KEEP,,,,True,0.896127,SPATIALLY_HELD_OUT,KEEP,MANUAL_REVIEW,,,1.3,7.9605415,"[""INDEPENDENT_ELLIPSE_DISAGREES"", ""NOT_TESTED_GEOMETRY_OR_AXIS_GROUND_FAILED""]",,False,False
TREE_0075,KEEP,,1.8,8.3740906,True,0.972922,SPATIALLY_HELD_OUT,KEEP,ALTERNATIVE_POM,8.3740906,1.8,1.8,8.3740906,[],,False,False
TREE_0076,KEEP,,,,True,0.966876,SPATIALLY_HELD_OUT,KEEP,MANUAL_REVIEW,,,1.3,8.241753,"[""SENSITIVITY_VARIANT_FAILS_GEOMETRY""]",,False,False
TREE_0077,KEEP,,,,True,0.936109,SPATIALLY_HELD_OUT,KEEP,MANUAL_REVIEW,,,2.8,6.9196364,"[""CONNECTED_STEM_RADIUS_UNSTABLE"", ""HIGH_RELATIVE_RESIDUAL"", ""INDEPENDENT_ELLIPSE_DISAGREES"", ""NOT_TESTED_GEOMETRY_OR_AXIS_GROUND_FAILED""]",,False,False
TREE_0078,KEEP,,,,True,0.956425,SPATIALLY_HELD_OUT,KEEP,MANUAL_REVIEW,,,2.8,6.904538,"[""CONNECTED_STEM_RADIUS_UNSTABLE"", ""HIGH_RELATIVE_RESIDUAL"", ""INDEPENDENT_ELLIPSE_DISAGREES"", ""NOT_TESTED_GEOMETRY_OR_AXIS_GROUND_FAILED""]",,False,False
TREE_0079,REJECT,,,,False,0.257929,SPATIALLY_HELD_OUT,REJECT,MANUAL_REVIEW,,,,,[],,False,False
TREE_0080,REJECT,,,,False,0.457011,SPATIALLY_HELD_OUT,REJECT,MANUAL_REVIEW,,,,,[],,False,False
TREE_0081,KEEP,,,,True,0.960687,SPATIALLY_HELD_OUT,KEEP,MANUAL_REVIEW,,,1.7,8.4630566,"[""INDEPENDENT_ELLIPSE_DISAGREES"", ""NOT_TESTED_GEOMETRY_OR_AXIS_GROUND_FAILED""]",,False,False
TREE_0082,KEEP,,,,True,0.961556,SPATIALLY_HELD_OUT,KEEP,MANUAL_REVIEW,,,2.4,7.2352362,"[""SENSITIVITY_VARIANT_FAILS_GEOMETRY""]",,False,False
TREE_0083,KEEP,,,,True,0.969115,SPATIALLY_HELD_OUT,KEEP,MANUAL_REVIEW,,,1.7,8.4519926,"[""INDEPENDENT_ELLIPSE_DISAGREES"", ""NOT_TESTED_GEOMETRY_OR_AXIS_GROUND_FAILED""]",,False,False
TREE_0084,KEEP,,,,True,0.599684,SPATIALLY_HELD_OUT,KEEP,MANUAL_REVIEW,,,3.2,4.9712572,"[""AXIS_NOT_BRACKETED_BY_OBSERVATIONS"", ""CONTINUITY_REQUIRES_THREE_LEVELS"", ""HIGH_RELATIVE_RESIDUAL"", ""INCOMPLETE_ANGULAR_SUPPORT"", ""INDEPENDENT_ELLIPSE_DISAGREES"", ""LARGE_UNOBSERVED_SECTOR"", ""MIXED_OR_NONCIRCULAR_SECTION"", ""NOT_TESTED_GEOMETRY_OR_AXIS_GROUND_FAILED""]",,False,False
TREE_0085,REJECT,,,,False,0.053723,SPATIALLY_HELD_OUT,REJECT,MANUAL_REVIEW,,,,,[],,False,False
TREE_0086,REJECT,,,,False,0.003452,SPATIALLY_HELD_OUT,REJECT,MANUAL_REVIEW,,,,,[],,False,False
TREE_0087,REJECT,,,,False,0.011889,SPATIALLY_HELD_OUT,REJECT,MANUAL_REVIEW,,,,,[],,False,False
TREE_0088,REJECT,,,,False,0.077106,SPATIALLY_HELD_OUT,REJECT,MANUAL_REVIEW,,,,,[],,False,False
TREE_0089,REJECT,,,,False,0.019094,SPATIALLY_HELD_OUT,REJECT,MANUAL_REVIEW,,,,,[],,False,False
TREE_0090,REJECT,,,,False,0.012954,SPATIALLY_HELD_OUT,REJECT,MANUAL_REVIEW,,,,,[],,False,False
TREE_0091,KEEP,,,,True,0.779301,SPATIALLY_HELD_OUT,KEEP,MANUAL_REVIEW,,,1.6,2.3477469,"[""AXIS_CENTERS_INCONSISTENT"", ""COMPETING_OR_DISCONTINUOUS_STEM_CENTERS"", ""CONNECTED_STEM_RADIUS_UNSTABLE"", ""HIGH_RELATIVE_RESIDUAL"", ""INDEPENDENT_ELLIPSE_DISAGREES"", ""NOT_TESTED_GEOMETRY_OR_AXIS_GROUND_FAILED""]",,False,False
TREE_0092,KEEP,,,,True,0.412537,SPATIALLY_HELD_OUT,REJECT,MANUAL_REVIEW,,,2.6,3.9128007,"[""AXIS_CENTERS_INCONSISTENT"", ""CONTINUITY_REQUIRES_THREE_LEVELS"", ""FIT_MOVED_FROM_STEM_HYPOTHESIS"", ""HIGH_RELATIVE_RESIDUAL"", ""IDENTITY_REVIEW_FALSE_POSITIVE"", ""INDEPENDENT_ELLIPSE_DISAGREES"", ""MIXED_OR_NONCIRCULAR_SECTION"", ""NOT_TESTED_GEOMETRY_OR_AXIS_GROUND_FAILED"", ""OPERATIONALLY_EXCLUDED_TREE_ID""]",,False,False
TREE_0093,KEEP,,,,True,0.773799,SPATIALLY_HELD_OUT,KEEP,MANUAL_REVIEW,,,4.0,12.0101981,"[""AXIS_NOT_BRACKETED_BY_OBSERVATIONS"", ""GROUND_SPATIALLY_UNSTABLE"", ""MIXED_OR_NONCIRCULAR_SECTION"", ""NOT_TESTED_GEOMETRY_OR_AXIS_GROUND_FAILED"", ""OPERATIONALLY_EXCLUDED_TREE_ID""]",,False,False
TREE_0094,KEEP,,,,True,0.921951,SPATIALLY_HELD_OUT,KEEP,MANUAL_REVIEW,,,1.6,2.5107696,"[""CONNECTED_STEM_RADIUS_UNSTABLE"", ""HIGH_RELATIVE_RESIDUAL"", ""INDEPENDENT_ELLIPSE_DISAGREES"", ""NOT_TESTED_GEOMETRY_OR_AXIS_GROUND_FAILED""]",,False,False
TREE_0095,KEEP,,,,True,0.930327,SPATIALLY_HELD_OUT,KEEP,MANUAL_REVIEW,,,1.4,23.2066164,"[""INCOMPLETE_ANGULAR_SUPPORT"", ""LARGE_UNOBSERVED_SECTOR"", ""NOT_TESTED_GEOMETRY_OR_AXIS_GROUND_FAILED""]",,False,False
TREE_0096,REJECT,,,,False,0.718897,SPATIALLY_HELD_OUT,KEEP,MANUAL_REVIEW,,,,,[],,False,False
TREE_0097,KEEP,,,,True,0.979226,SPATIALLY_HELD_OUT,KEEP,MANUAL_REVIEW,,,1.3,8.0462917,"[""CONNECTED_STEM_RADIUS_UNSTABLE""]",,False,False
TREE_0098,KEEP,,,,True,0.978416,SPATIALLY_HELD_OUT,KEEP,MANUAL_REVIEW,,,1.3,8.0521012,"[""CONNECTED_STEM_RADIUS_UNSTABLE"", ""IDENTITY_REVIEW_DUPLICATE""]",,False,False
TREE_0099,KEEP,,,,True,0.97882,SPATIALLY_HELD_OUT,KEEP,MANUAL_REVIEW,,,1.5,10.0341412,"[""SENSITIVITY_VARIANT_FAILS_GEOMETRY""]",,False,False
TREE_0100,KEEP,,,,True,0.942893,SPATIALLY_HELD_OUT,KEEP,MANUAL_REVIEW,,,2.3,12.9157311,"[""INCOMPLETE_ANGULAR_SUPPORT"", ""LARGE_UNOBSERVED_SECTOR"", ""NOT_TESTED_GEOMETRY_OR_AXIS_GROUND_FAILED""]",,False,False
TREE_0101,REJECT,,,,False,0.693711,SPATIALLY_HELD_OUT,KEEP,MANUAL_REVIEW,,,,,[],,False,False
TREE_0102,REJECT,,,,False,0.396311,SPATIALLY_HELD_OUT,REJECT,MANUAL_REVIEW,,,,,[],,False,False
